id,class,mass,fall,year,lat,long,Elevation
1.0,L5,21.0,Fell,1880.0,50.775,6.08333,
2.0,H6,720.0,Fell,1951.0,56.183330000000005,10.23333,
6.0,EH4,107000.0,Fell,1952.0,54.21666999999999,-113.0,
10.0,Acapulcoite,1914.0,Fell,1976.0,16.883329999999997,-99.9,
370.0,L6,780.0,Fell,1902.0,-33.16667,-64.95,
379.0,EH4,4239.0,Fell,1919.0,32.1,71.8,
390.0,LL3-6,910.0,Fell,1949.0,44.83333,95.16667,
392.0,H5,30000.0,Fell,1814.0,44.21667,0.6166699999999999,
398.0,L6,1620.0,Fell,1930.0,-31.6,-65.23333000000001,
417.0,L,1440.0,Fell,1920.0,-30.866670000000003,-64.55,
423.0,Diogenite-pm,1000.0,Fell,1974.0,16.39806,-9.57028,
424.0,L6,24000.0,Fell,1925.0,19.08333,8.38333,
425.0,Unknown,,Fell,1769.0,50.66667,2.33333,
426.0,L6,779.0,Fell,1949.0,29.51667,35.05,
427.0,H4,1800.0,Fell,1838.0,29.71667,77.95,
432.0,H,3000.0,Fell,1959.0,8.91667,8.43333,
433.0,"Iron, IVA",50000.0,Fell,1981.0,39.91667,42.81667,
446.0,CR2-an,160.0,Fell,1957.0,24.41667,39.51667,
447.0,LL5,700.0,Fell,2001.0,13.660329999999998,28.96,
448.0,CI1,6000.0,Fell,1806.0,44.11667,4.08333,
453.0,L/LL4,2000.0,Fell,1766.0,44.65,11.01667,
454.0,L,625.0,Fell,1949.0,2.0,22.66667,
458.0,Eucrite-mmict,252.0,Fell,2002.0,45.821329999999996,6.0153300000000005,
461.0,LL5,700.0,Fell,1835.0,51.78333,-1.7833299999999999,
462.0,L6,3200.0,Fell,1873.0,36.23333,37.13333,
463.0,H5,908.0,Fell,1860.0,44.88333,8.75,
465.0,H4,9251.0,Fell,1900.0,50.95,31.816670000000002,
466.0,L6,228000.0,Fell,1883.0,45.26667,10.15,
2276.0,H5,32000.0,Fell,1899.0,42.53333,-85.88333,
2278.0,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,
48915.0,Ureilite-an,3950.0,Fell,2008.0,20.74575,32.41275,
2284.0,LL5,6000.0,Fell,1977.0,35.27333,44.215559999999996,
2290.0,H5,6400.0,Fell,1895.0,27.66667,78.25,
2294.0,Stone-uncl,2700.0,Fell,1880.0,26.58333,85.56667,
2295.0,L6,3200.0,Fell,1898.0,44.61667,-70.75,
2296.0,L3,600.0,Fell,1969.0,48.7,37.5,
2298.0,H6,17900.0,Fell,1939.0,20.883329999999997,76.86667,
50693.0,L5,256.8,Found,,0.0,0.0,
2301.0,L6,,Fell,1822.0,47.46667,-0.55,
2302.0,Angrite,1500.0,Fell,1869.0,-22.96667,-44.31667,
2304.0,H4,6500.0,Fell,1942.0,9.53333,39.71667,
2305.0,H5,2500.0,Fell,1971.0,25.15,105.18333,
2313.0,L6,320.0,Fell,1984.0,40.810559999999995,140.78556,
2318.0,LL6,15000.0,Fell,1914.0,53.583330000000004,-2.71667,
2320.0,L6,3200.0,Fell,1803.0,43.86667,5.38333,
2325.0,H5,810.0,Fell,1954.0,-33.0,-66.0,
2329.0,H6,5070.0,Fell,1932.0,38.5,-94.3,
2340.0,H5,7450.0,Fell,1950.0,-31.41667,-60.666669999999996,
2345.0,H6,41.0,Fell,1805.0,42.45,9.03333,
48954.0,L6,9500.0,Fell,2009.0,31.805,-97.01,
2346.0,L6,1300.0,Fell,1923.0,52.05,0.3,
2353.0,H5,2000.0,Fell,1886.0,43.03333,12.55,
4883.0,L4,1280.0,Fell,1920.0,25.254170000000002,80.625,
4884.0,L6,94.2,Fell,1896.0,20.066670000000002,-103.66667,
4885.0,LL6,265.0,Fell,1933.0,34.75,-87.0,
4888.0,L6,1384.2,Fell,1945.0,34.31667,-96.15,
4893.0,Aubrite,800.0,Fell,1836.0,44.38333,5.16667,
4899.0,L6,50000.0,Fell,1865.0,36.16667,3.66667,
4900.0,L6,2000.0,Fell,1842.0,44.33333,3.23333,
4903.0,L5,50000.0,Fell,1858.0,43.08333,0.58333,
4905.0,H4,9330.0,Fell,1952.0,-21.460279999999997,-49.950829999999996,
4906.0,"Iron, IIAB",1230.0,Fell,1908.0,46.0,13.5,
4907.0,H,146.0,Fell,1855.0,25.0,-103.5,
4910.0,L4,134.0,Fell,1968.0,2.71667,32.83333,
4913.0,L6,2830.0,Fell,1938.0,36.8,-108.0,
4917.0,L6,18000.0,Fell,1814.0,48.6,38.0,
4922.0,"Iron, IAB-sLL",10322.0,Fell,1934.0,28.48333,78.5,
4925.0,L4,3700.0,Fell,1929.0,35.96667,-82.48333000000001,
4926.0,L6,345.0,Fell,1922.0,34.5,-88.66667,
4928.0,CV3,1000.0,Fell,1907.0,5.38333,16.383329999999997,
4934.0,"Iron, ungrouped",16700.0,Fell,1993.0,16.66667,101.18333,
4935.0,LL6,11500.0,Fell,1871.0,-6.91667,107.6,
4936.0,L6,15000.0,Fell,1892.0,27.7,76.33333,
4937.0,L5,14.0,Fell,1913.0,30.4,78.2,
4938.0,CM2,629.0,Fell,1933.0,-6.33333,106.0,
4942.0,H5,6400.0,Fell,1790.0,43.95,-0.05,
4944.0,OC,,Fell,1704.0,41.36667,2.16667,
4946.0,Mesosiderite-A1,3200.0,Fell,1842.0,42.38333,-2.5,
4947.0,H5,23.2,Fell,1904.0,52.73333,84.08333,
4948.0,LL4,17.0,Fell,1886.0,52.0,9.1,
4949.0,L6,4500.0,Fell,1910.0,31.616670000000003,76.8,
4954.0,L5,44000.0,Fell,1965.0,52.56528,-1.33972,
44876.0,H5,29560.0,Fell,2006.0,15.78333,-5.9,
4957.0,L5,15500.0,Fell,1994.0,52.03333,20.93583,
4974.0,H4,21000.0,Fell,1892.0,45.41667,-98.31667,
4975.0,L6,86000.0,Fell,1902.0,38.25,-83.75,
56133.0,L6,2900.0,Fell,2012.0,40.66813,-117.18913,
4976.0,LL5,1557.0,Fell,1989.0,11.08333,-0.18333,
4977.0,L6,611.0,Fell,1916.0,36.75,-93.5,
4984.0,H5,16000.0,Fell,1929.0,39.8,-101.2,
4986.0,H5,14000.0,Fell,1893.0,51.16667,-117.33333,
4993.0,H5,794.0,Fell,1949.0,53.01667,-4.1,
